"Population at the beginning of year and population change and key vital statistics in regions, cities, towns and municipalities by Indicator, Territorial unit and Time period"

"Indicator","Territorial unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Annual average population","Aizkraukle municipality",33708,33222,32659,32202,31612,30905,30325,29916,29558,29211,29002,28828,28446,…
"Annual average population","Alūksne municipality",17123,16671,16196,15845,15390,14867,14463,14159,13945,13711,13429,13533,13284,…
"Annual average population","Augšdaugava municipality",32873,32138,31368,30529,29535,28564,27732,26925,26225,25602,25015,24671,24251,…
"Annual average population","Ādaži municipality",16073,16293,16507,16791,17988,19391,19978,20401,20885,21539,22351,23073,23456,…
"Annual average population","Balvi municipality",23251,22853,22394,21821,21195,20615,20120,19654,19216,18758,18370,18173,17768,…
"Annual average population","Bauska municipality",47582,46856,46060,45355,44411,43558,42979,42448,41977,41573,41332,41272,40774,…
"Annual average population","Cēsis municipality",46442,45721,44946,44288,43498,42588,41914,41553,41299,40985,41031,41902,41555,…
"Annual average population","Dienvidkurzeme municipality",39102,38544,37825,37033,36283,35495,34653,34011,33556,33150,32956,33181,32936,…
"Annual average population","Dobele municipality",33548,32834,32082,31487,30796,30154,29660,29189,28746,28255,27911,28061,27699,…
"Annual average population","Gulbene municipality",23155,22724,22271,21883,21396,20906,20494,20159,19814,19364,19089,18991,18653,…
"Annual average population","Jelgava municipality",34792,34286,33672,33280,32815,32519,32462,32291,32079,31934,32071,32383,32138,…
"Annual average population","Jēkabpils municipality",46742,45819,44955,44233,43401,42558,41858,41318,40820,40280,39950,39815,39151,…
"Annual average population","Krāslava municipality",27643,26983,26223,25501,24750,23906,23115,22398,21749,21153,20584,20292,19784,…
"Annual average population","Kuldīga municipality",32251,31810,31269,30681,29956,29324,28821,28339,27924,27580,27394,27346,26896,…
"Annual average population","Ķekava municipality",26605,26781,26989,27421,27663,28020,28697,29362,29882,30319,30852,31276,31289,…
"Annual average population","Limbaži municipality",32178,31603,31064,30596,29949,29299,28864,28711,28628,28409,28240,28137,27769,…
"Annual average population","Līvāni municipality",12491,12249,12034,11826,11550,11288,11088,10914,10735,10557,10445,10441,10254,…
"Annual average population","Ludza municipality",26634,26037,25467,24943,24345,23711,23100,22517,21999,21469,21209,21030,20536,…
"Annual average population","Madona municipality",34240,33584,32899,32306,31589,30850,30257,29645,29000,28405,27909,27703,27306,…
"Annual average population","Mārupe municipality",24771,25371,26151,27327,28106,28860,29987,31076,32242,33627,35248,36398,37091,…
"Annual average population","Ogre municipality",60465,59964,59450,59019,58382,57906,57744,57634,57604,57604,57778,58298,57895,…
"Annual average population","Olaine municipality",19298,19234,19157,19205,19212,19148,19199,19402,19620,19829,20229,20661,20690,…
"Annual average population","Preiļi municipality",19923,19572,19235,18939,18541,18082,17647,17260,16920,16548,16187,15932,15664,…
"Annual average population","Rēzekne municipality",35675,35063,34441,33926,33140,32181,31302,30564,29930,29328,28909,28602,28021,…
"Annual average population","Ropaži municipality",27123,27235,27202,27506,28000,28610,29236,30072,31196,32386,33651,34483,35008,…
"Annual average population","Salaspils municipality",21634,21632,21638,21839,22060,22279,22490,22633,22786,23008,23299,23702,23810,…
"Annual average population","Saldus municipality",32027,31400,30798,30250,29497,28742,28190,27715,27300,26899,26608,26981,26755,…
"Annual average population","Saulkrasti municipality",8081,8042,7978,7978,7902,7891,8371,8903,9132,9318,9626,9917,9959,…
"Annual average population","Sigulda municipality",30336,30295,30258,30337,30223,30060,30266,30588,30631,30751,31110,31545,31547,…
"Annual average population","Smiltene municipality",20760,20459,20114,19762,19305,18894,18622,18462,18279,18029,17906,17915,17686,…
"Annual average population","Talsi municipality",41496,40730,39975,39351,38537,37659,36930,36315,35869,35446,35044,35371,35025,…
"Annual average population","Tukums municipality",49429,48625,47913,47399,46654,45775,45184,44821,44525,44156,43953,44319,43766,…
"Annual average population","Valka municipality",9262,9035,8788,8571,8336,8075,7865,7747,7649,7570,7552,7711,7659,…
"Annual average population","Valmiera municipality",57699,56559,55518,54724,53757,52940,52462,51945,51512,51084,50729,51273,50861,…
"Annual average population","Varakļāni municipality",3675,3612,3522,3430,3337,3238,3135,3056,2983,2931,2952,2946,2856,…
"Annual average population","Ventspils municipality",12430,12285,12029,11782,11544,11333,11151,11008,10864,10724,10591,10486,10341,…
