Municipality,Machine Location
Ropaži Municipality,"W9CH+W5 Lats, Upeslejas, Stopiņu pagasts, Ropažu novads, LV-2118"
Tukums Municipality,"Vītoli AMI, Zemītes iela 2A, Tukums, Tukuma pilsēta, Tukuma novads, LV-3104"
Valka Municipality,"Valga Rimi Super, Riia tn 18, Valga, 68203 Valga maakond, Estonia"
Valmiera Municipality,"top!, Valmiermuižas iela 11, Valmiermuiža, Valmieras pagasts, Valmieras novads, LV-4219"
Varakļāni Municipality,"top!, Pils iela 7D, Varakļāni, Varakļāni pilsēta, Varakļānu novads, LV-4838"
Ogre Municipality,"top!, Mednieku iela 21/23, Ogre, Ogres pilsēta, Ogres novads, LV-5001"
Bauska Municipality,"top!, Edvarta Virzas iela 2, Iecava, Iecava pilsēta, Bauskas novads, LV-3913"
Ādaži Municipality,"TC Apelsins, Rīgas gatve 5, Ādaži, Ādaži pilsēta, Ādažu novads, LV-2164"
Sigulda Municipality,"Siguldas Ezītis miglā, Rūdolfa Blaumaņa iela 2, Sigulda, Siguldas pilsēta, Siguldas novads, LV-2150"
Jelgava Municipality,"Rimi, Katoļu iela 18, Jelgava, LV-3001"
Valmiera Municipality,"Rimi Super Valmiera, Fabrikas iela 2, Valmiera, LV-4201"
Ķekava Municipality,"Rimi Super Ķekava, Rīgas iela 22, Ķekava, Ķekava pilsēta, Ķekavas novads, LV-2123"
Ādaži Municipality,"Rimi Super Carnikava, Atpūtas iela 1, Carnikava, Carnikavas pagasts, Ādažu novads, LV-2163"
Olaine Municipality,"Rimi shop, Stacijas iela 8, Olaine, Olaines pilsēta, Olaines novads, LV-2114"
Salaspils Municipality,"Rimi Hyper Salaspils, Skolas iela 4e, Salaspils, Salaspils pilsēta, Salaspils novads, LV-2121"
Rēzekne Municipality,"Rimi Hyper Rēzekne, Atbrīvošanas Aleja 138, Rēzekne, LV-4601"
Ogre Municipality,"Rimi Hyper Ogre, Rīgas iela 33, Ogre, Ogres pilsēta, Ogres novads, LV-5001"
Dobele Municipality,"Rimi Hyper Dobele, Brīvības iela 30, Dobele, Dobeles pilsēta, Dobeles novads, LV-3701"
Bauska Municipality,"Rimi Hyper Bauska, Pionieru iela 2, Bauska, Bauskas pilsēta, Bauskas novads, LV-3901"
