Municipality,Population 2012,Population 2024,Growth Rate,Machines
Ādaži Municipality,16073,23456,46%,2
Aizkraukle Municipality,33708,28446,-16%,1
Alūksne Municipality,17123,13284,-22%,1
Augšdaugava Municipality,32873,24251,-26%,1
Balvi Municipality,23251,17768,-24%,1
Bauska Municipality,47582,40774,-14%,2
Cēsis Municipality,46442,41555,-11%,2
Dienvidkurzeme Municipality,39102,32936,-16%,1
Dobele Municipality,33548,27699,-17%,1
Gulbene Municipality,23155,18653,-19%,1
Jēkabpils Municipality,46742,39151,-16%,2
Jelgava Municipality,34792,32138,-8%,1
Ķekava Municipality,26605,31289,18%,2
Krāslava Municipality,27643,19784,-28%,1
Kuldīga Municipality,32251,26896,-17%,1
Limbaži Municipality,32178,27769,-14%,1
Līvāni Municipality,12491,10254,-18%,1
Ludza Municipality,26634,20536,-23%,1
Madona Municipality,34240,27306,-20%,1
Mārupe Municipality,24771,37091,50%,3
Ogre Municipality,60465,57895,-4%,3
Olaine Municipality,19298,20690,7%,1
Preiļi Municipality,19923,15664,-21%,1
Rēzekne Municipality,35675,28021,-21%,1
Ropaži Municipality,27123,35008,29%,3
Salaspils Municipality,21634,23810,10%,1
Saldus Municipality,32027,26755,-16%,1
Saulkrasti Municipality,8081,9959,23%,1
Sigulda Municipality,30336,31547,4%,2
Smiltene Municipality,20760,17686,-15%,1
Talsi Municipality,41496,35025,-16%,1
Tukums Municipality,49429,43766,-11%,2
Valka Municipality,9262,7659,-17%,1
Valmiera Municipality,57699,50861,-12%,2
Varakļāni Municipality,3675,2856,-22%,1
Ventspils Municipality,12430,10341,-17%,1
